actual_size,agent_count,agents,arm_aliases,arm_id,candidate_id,censored,complete,conflict_auc_seconds,conflict_reduction,conflict_trajectory,continuation_iterations,feasible,final_conflicts,final_fingerprint,final_repair_fingerprint,followup_reason,initial_conflicts,initial_fingerprint,initial_repair_fingerprint,layout_mode,low_level_expanded,low_level_generated,low_level_reopened,low_level_runs,map_id,normalized_conflict_auc_seconds,observed_total_seconds,pp_replan_seconds,repair_iterations,rollout_wall_seconds,schema,shared_initial_selection_seconds,source_stratum,split,state_id,stop_reason,template_key,trial_index
16,200,"3,16,31,44,46,55,73,89,110,133,143,155,161,176,180,197","oracle_s3_efficiency,oracle_s3_quality_time,oracle_h1_efficiency",oracle_s3_efficiency,neighborhood-02581e387a88031a,False,True,0.05908535000003212,2,"2,0",0,True,0,99250820d9cd17d58b0e2b0ceb0d70145faba0c559173039e48b4a297fc83e42,b54aa658ff41595fb931329bd080dbb27da54057a93412919af1b54ae3da4aa4,new_seed,2,f468c4b83808879894d499cf161e44d50ce9190d09f1bbc903910335c36cc8f1,4d59b9aad7a10836a4cf9980c306867d36af02a79a51dd4e4ab7741cdb9329e4,compartmentalized,17884,21211,9883,16,policy_train_compartmentalized_double_horizontal_0001,0.02954267500001606,0.08016663400005086,0.02508872,1,0.04624970599999756,lns2.v3_value_label_pilot.v1,0.033916928000053304,no_progress,policy_train,s3__policy_train__policy_train_compartmentalized_double_horizontal_0001__task_0011__seed_0000__fixed_random__decision_0000__0013,feasible,random:size16:rep0,2
16,200,"3,16,31,44,46,55,73,89,110,133,143,155,161,176,180,197","oracle_s3_efficiency,oracle_s3_quality_time,oracle_h1_efficiency",oracle_s3_efficiency,neighborhood-02581e387a88031a,False,True,0.058387315999993916,2,"2,0",0,True,0,7834a60257f892db19bfd6343e0c588a61b01a94b0ab9c42fa8bff050c66a5b0,314ae389ed3f11b40110bec30daafe0121743e50eb726678b414b3bcdd142a42,new_seed,2,f468c4b83808879894d499cf161e44d50ce9190d09f1bbc903910335c36cc8f1,4d59b9aad7a10836a4cf9980c306867d36af02a79a51dd4e4ab7741cdb9329e4,compartmentalized,19565,24243,10052,16,policy_train_compartmentalized_double_horizontal_0001,0.029193657999996958,0.07841983400004437,0.026134243,1,0.04450290599999107,lns2.v3_value_label_pilot.v1,0.033916928000053304,no_progress,policy_train,s3__policy_train__policy_train_compartmentalized_double_horizontal_0001__task_0011__seed_0000__fixed_random__decision_0000__0013,feasible,random:size16:rep0,3
4,200,"22,108,110,161",v2_full,v2_full,neighborhood-7112b08d1bd28fb7,False,True,0.18716818300001137,2,"2,1,1,1,1,0",4,True,0,68b024c6fca4f41c37b0343634831e2917d795fd0512a28c89f22d3e7bfca7cf,1c7dda6ea90421120909bdcb825cee978c65dd59567340560d585ed957424510,,2,f468c4b83808879894d499cf161e44d50ce9190d09f1bbc903910335c36cc8f1,4d59b9aad7a10836a4cf9980c306867d36af02a79a51dd4e4ab7741cdb9329e4,compartmentalized,118116,97396,59185,28,policy_train_compartmentalized_double_horizontal_0001,0.09358409150000568,0.26022624300006214,0.133373742,5,0.22630931500000884,lns2.v3_value_label_pilot.v1,0.033916928000053304,no_progress,policy_train,s3__policy_train__policy_train_compartmentalized_double_horizontal_0001__task_0011__seed_0000__fixed_random__decision_0000__0013,feasible,,0
4,200,"22,108,110,161",v2_full,v2_full,neighborhood-7112b08d1bd28fb7,False,True,0.34608652599999346,2,"2,2,1,1,1,1,1,1,1,1,0",9,True,0,bf58dc77aa6122bc5e7d01be3cce26edafa4a6fb0fc4610ec213d5f57f6374eb,2acc4f13165ae301ea4ba24394ba92d02af1a6f24a22a4340c792b82f9297a5d,,2,f468c4b83808879894d499cf161e44d50ce9190d09f1bbc903910335c36cc8f1,4d59b9aad7a10836a4cf9980c306867d36af02a79a51dd4e4ab7741cdb9329e4,compartmentalized,236830,180484,122142,65,policy_train_compartmentalized_double_horizontal_0001,0.17304326299999673,0.47206700600006,0.25681423,10,0.4381500780000067,lns2.v3_value_label_pilot.v1,0.033916928000053304,no_progress,policy_train,s3__policy_train__policy_train_compartmentalized_double_horizontal_0001__task_0011__seed_0000__fixed_random__decision_0000__0013,feasible,,1
4,200,"22,108,110,161",v2_full,v2_full,neighborhood-7112b08d1bd28fb7,False,True,0.7131468140000834,2,"2,2,2,2,2,2,2,2,2,0",8,True,0,c70587096f1122eeb45ea587271e037b8127ee37b6172a969fa89ceec1a1c89d,ead009e3f47c37502c41395eac983ab384f40bd521895bcb09f7554cf0dbcd4d,new_seed,2,f468c4b83808879894d499cf161e44d50ce9190d09f1bbc903910335c36cc8f1,4d59b9aad7a10836a4cf9980c306867d36af02a79a51dd4e4ab7741cdb9329e4,compartmentalized,262221,205229,119207,54,policy_train_compartmentalized_double_horizontal_0001,0.3565734070000417,0.5441875150000612,0.32431745900000003,9,0.5102705870000079,lns2.v3_value_label_pilot.v1,0.033916928000053304,no_progress,policy_train,s3__policy_train__policy_train_compartmentalized_double_horizontal_0001__task_0011__seed_0000__fixed_random__decision_0000__0013,feasible,,2
4,200,"22,108,110,161",v2_full,v2_full,neighborhood-7112b08d1bd28fb7,False,True,0.5597157350000543,2,"2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0",16,True,0,7aa130bda07fc718a8af486b69d37c9847522fd457dd88ddaa1ae5915ea1df0b,2f8b2156e4a0a4900708c72c086f115dc8ed55a21be96b898a64c5760ba8fb40,new_seed,2,f468c4b83808879894d499cf161e44d50ce9190d09f1bbc903910335c36cc8f1,4d59b9aad7a10836a4cf9980c306867d36af02a79a51dd4e4ab7741cdb9329e4,compartmentalized,390911,287425,202882,93,policy_train_compartmentalized_double_horizontal_0001,0.27985786750002717,0.8257609270000614,0.46268212400000003,17,0.7918439990000081,lns2.v3_value_label_pilot.v1,0.033916928000053304,no_progress,policy_train,s3__policy_train__policy_train_compartmentalized_double_horizontal_0001__task_0011__seed_0000__fixed_random__decision_0000__0013,feasible,,3
8,600,"166,180,274,278,285,358,390,506",oracle_h1_efficiency,oracle_h1_efficiency,neighborhood-1565a9188af2b9f9,False,True,211.54482709900006,94,"94,78,71,67,62,61,61,60,53,42,32,24,21,20,20,18,18,18,18,17,17,16,16,16,15,12,12,11,10,10,10,9,9,9,8,8,8,8,8,7,7,7,7,7,6,4,3,3,3,2,1,0",50,True,0,0d34a706f3feea76428b88e8a5ff0e697355115c3896436445c6831af797f94e,8c95a25c459e3b8ac005f94b7e26cd6a0cc1f0dc93e427ecb6326aaa3d118148,extend_censored,94,b3375dae54f30c96378484e6ab0f5567d4a17e1e1160cdde79d82f10015c6a0a,d9624a5ba1f7411e4ed84afe317ca136d633e1a90761e80f8a8e11950f4e5531,compartmentalized,3761321,2972174,2266583,339,policy_train_compartmentalized_double_horizontal_0001,2.2504768840319156,12.760680125999984,8.05358217,51,12.658073304,lns2.v3_value_label_pilot.v1,0.10260682199998428,high_cost_progress,policy_train,s3__policy_train__policy_train_compartmentalized_double_horizontal_0001__task_0016__seed_0000__official_adaptive__decision_0000__0040,feasible,target:size8:rep0,0
8,600,"166,180,274,278,285,358,390,506",oracle_h1_efficiency,oracle_h1_efficiency,neighborhood-1565a9188af2b9f9,True,True,313.1886752709988,90,"94,77,75,73,65,64,62,60,56,53,50,43,42,42,42,40,38,38,36,36,35,33,32,31,29,27,27,27,26,25,24,23,20,20,16,16,16,15,14,12,11,10,10,10,10,9,9,8,7,7,7,7,6,6,6,6,6,5,5,5,4",59,False,4,7105f62295e535efdecd73f5e3b39d491cada867a1eec69404fcddf5c8f384bc,4bd099f74b30feba7aa7f30372c881f2f9d78cf977c26bb7e2f6c7466e2aa434,extend_censored,94,b3375dae54f30c96378484e6ab0f5567d4a17e1e1160cdde79d82f10015c6a0a,d9624a5ba1f7411e4ed84afe317ca136d633e1a90761e80f8a8e11950f4e5531,compartmentalized,4973594,3563681,3313408,419,policy_train_compartmentalized_double_horizontal_0001,3.3317944177765826,16.050664891999986,10.395106199999999,60,15.948058070000002,lns2.v3_value_label_pilot.v1,0.10260682199998428,high_cost_progress,policy_train,s3__policy_train__policy_train_compartmentalized_double_horizontal_0001__task_0016__seed_0000__official_adaptive__decision_0000__0040,environment_terminal,target:size8:rep0,1
8,600,"166,180,274,278,285,358,390,506",oracle_h1_efficiency,oracle_h1_efficiency,neighborhood-1565a9188af2b9f9,True,True,440.4948453699989,92,"94,78,75,75,75,74,72,67,58,56,55,48,48,48,41,38,36,36,36,35,32,32,32,32,32,24,24,23,23,22,21,17,17,17,16,16,15,15,14,14,14,12,12,11,11,10,9,9,8,8,8,6,6,6,3,3,3,3,2,2,2",59,False,2,b9cd09b67d2e1b1dedbd88f78d3001ce98ce24d5fdbcfc9e386d3ccc517eef1c,55de68dc5a3c9be092c85a4bf0e91f40875d774b84f990e32b34d0810832bdf3,new_seed,94,b3375dae54f30c96378484e6ab0f5567d4a17e1e1160cdde79d82f10015c6a0a,d9624a5ba1f7411e4ed84afe317ca136d633e1a90761e80f8a8e11950f4e5531,compartmentalized,6901254,3699208,5050274,367,policy_train_compartmentalized_double_horizontal_0001,4.686115376276584,18.37489609900001,12.237674363999998,60,18.272289277000027,lns2.v3_value_label_pilot.v1,0.10260682199998428,high_cost_progress,policy_train,s3__policy_train__policy_train_compartmentalized_double_horizontal_0001__task_0016__seed_0000__official_adaptive__decision_0000__0040,environment_terminal,target:size8:rep0,2
8,600,"166,180,274,278,285,358,390,506",oracle_h1_efficiency,oracle_h1_efficiency,neighborhood-1565a9188af2b9f9,False,True,315.1877753980038,94,"94,76,75,67,61,60,57,43,42,42,42,42,42,42,42,42,41,41,39,37,35,35,33,30,28,24,24,22,21,21,21,19,18,17,17,17,16,13,12,10,10,10,9,7,6,4,3,2,2,2,2,1,0",51,True,0,dfe4b99d01dfb7ca92370ce0644477c8ee3941d9551053c80c9b3e18a3d9d4dc,1e7841dc85e32eb78cc55d43f2add4fca72f340bb77f21afdd525ee4a4c48d2b,new_seed,94,b3375dae54f30c96378484e6ab0f5567d4a17e1e1160cdde79d82f10015c6a0a,d9624a5ba1f7411e4ed84afe317ca136d633e1a90761e80f8a8e11950f4e5531,compartmentalized,4067331,3477429,2369256,374,policy_train_compartmentalized_double_horizontal_0001,3.3530614404042955,13.993297133999988,8.614872327,52,13.890690312000004,lns2.v3_value_label_pilot.v1,0.10260682199998428,high_cost_progress,policy_train,s3__policy_train__policy_train_compartmentalized_double_horizontal_0001__task_0016__seed_0000__official_adaptive__decision_0000__0040,feasible,target:size8:rep0,3
