actual_size,agent_count,agents,arm_aliases,arm_id,candidate_id,censored,complete,conflict_auc_seconds,conflict_reduction,conflict_trajectory,continuation_iterations,feasible,final_conflicts,final_fingerprint,final_repair_fingerprint,initial_conflicts,initial_fingerprint,initial_repair_fingerprint,layout_mode,low_level_expanded,low_level_generated,low_level_reopened,low_level_runs,map_id,normalized_conflict_auc_seconds,observed_total_seconds,pp_replan_seconds,repair_iterations,rollout_wall_seconds,schema,shared_initial_selection_seconds,source_stratum,split,state_id,stop_reason,template_key,trial_index
16,200,"5,6,15,22,30,42,81,93,102,127,152,155,170,173,186,192","oracle_s3_quality_time,oracle_h1_efficiency",oracle_s3_quality_time,neighborhood-0116f053a8088622,False,True,0.32404735999998024,4,"4,1,1,1,0",3,True,0,f966dd55657edaa4f3ae82bbb38c73ef83af1d957c2286ae5e21d68a41f4fe4c,89fa8f9f5b3c07577ba4930eaba5cd19a1cef777eec4417d5a0a4f7a29f1ea41,4,d130e1e6b2d72f7b38e613a280206fc0b9adc98e04bbcc5492e0f6b16c4e62c1,e26dc05013bf369acc145573b7006557a9ef3606ed1e26a4b4d8669404ceb6db,compartmentalized,105404,93079,57852,32,policy_train_compartmentalized_double_horizontal_0002,0.08101183999999506,0.25609674999998333,0.14274869699999998,4,0.21999238000000787,lns2.v3_value_label_pilot.v1,0.03610436999997546,ordinary_progress,policy_train,s3__policy_train__policy_train_compartmentalized_double_horizontal_0002__task_0010__seed_0000__official_adaptive__decision_0000__0014,feasible,random:size16:rep0,0
16,200,"5,6,15,22,30,42,81,93,102,127,152,155,170,173,186,192","oracle_s3_quality_time,oracle_h1_efficiency",oracle_s3_quality_time,neighborhood-0116f053a8088622,False,True,0.23218782200004284,4,"4,2,0",1,True,0,7c44f03d9626ed49f17e7fcb4ddd5472b52a6b942dfc19c254bb264d6d24d2b9,3dc2c423498ac75af50ae8c889268890356e781df62925d5fc10b2fdc77e789e,4,d130e1e6b2d72f7b38e613a280206fc0b9adc98e04bbcc5492e0f6b16c4e62c1,e26dc05013bf369acc145573b7006557a9ef3606ed1e26a4b4d8669404ceb6db,compartmentalized,55908,62578,25469,24,policy_train_compartmentalized_double_horizontal_0002,0.05804695550001071,0.14380972399997916,0.07012391600000001,2,0.1077053540000037,lns2.v3_value_label_pilot.v1,0.03610436999997546,ordinary_progress,policy_train,s3__policy_train__policy_train_compartmentalized_double_horizontal_0002__task_0010__seed_0000__official_adaptive__decision_0000__0014,feasible,random:size16:rep0,1
16,400,"30,49,51,53,124,129,155,164,231,259,266,304,322,335,336,344","v2_full,model_s3",v2_full,neighborhood-28e93a589b407296,True,True,20.2902842170015,81,"84,50,47,38,34,34,31,31,23,21,15,12,12,10,7,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3",29,False,3,3a7f7537fda2191ebbbfadc419d820c4111a242dd49aff271dae7ee2d095fba0,53a9ec8aee81ac99e69c24bc1a4452c0a4cc7adf398b6e5a5bb287fe97c6c288,84,1d0e476328050261043806ff6831770899cb285eda2e62f4cca62c18a092d99c,29640af2d66e84a1266849852f0ac063337a0c5f2d827fc072c1f13142de79d9,compartmentalized,385953,618117,103971,192,policy_train_compartmentalized_double_horizontal_0002,0.2415510025833512,1.755375633999975,0.694223287,30,1.7083976029999945,lns2.v3_value_label_pilot.v1,0.04697803099998055,no_progress,policy_train,s3__policy_train__policy_train_compartmentalized_double_horizontal_0002__task_0013__seed_0000__fixed_random__decision_0004__0026,environment_terminal,,0
16,400,"30,49,51,53,124,129,155,164,231,259,266,304,322,335,336,344","v2_full,model_s3",v2_full,neighborhood-28e93a589b407296,False,True,30.01226827100058,84,"84,47,44,44,44,40,33,29,29,23,23,23,23,19,19,17,13,10,10,9,6,3,3,3,1,0",24,True,0,9a09da70daee0d0ddce8cf60a0060e322af9d9167cc4607468150c01ac28e7a0,dfdeb3b5a862af854521d483529f88613d54b2468dea276ca847a070993cc6b8,84,1d0e476328050261043806ff6831770899cb285eda2e62f4cca62c18a092d99c,29640af2d66e84a1266849852f0ac063337a0c5f2d827fc072c1f13142de79d9,compartmentalized,477011,655057,170247,170,policy_train_compartmentalized_double_horizontal_0002,0.35728890798810214,1.720388679999985,0.8080640899999999,25,1.6734106490000045,lns2.v3_value_label_pilot.v1,0.04697803099998055,no_progress,policy_train,s3__policy_train__policy_train_compartmentalized_double_horizontal_0002__task_0013__seed_0000__fixed_random__decision_0004__0026,feasible,,1
16,400,"10,49,51,85,121,131,195,221,264,292,304,322,336,356,364,381","oracle_s3_efficiency,oracle_h1_efficiency",oracle_s3_efficiency,neighborhood-0f9f58facbe41374,False,True,16.717452039000932,84,"84,49,46,45,39,31,27,27,24,20,17,16,14,7,5,4,4,4,4,1,1,1,0",21,True,0,db7ad03ad8df1eaf96c48098a19f84a1f3822073c7fb1bfecdfc76720822db12,b1dca736849d67efe93c4080a2703aee81e17a6154ccdbe72d4290993c410dc6,84,1d0e476328050261043806ff6831770899cb285eda2e62f4cca62c18a092d99c,29640af2d66e84a1266849852f0ac063337a0c5f2d827fc072c1f13142de79d9,compartmentalized,289058,465653,76225,162,policy_train_compartmentalized_double_horizontal_0002,0.19901728617858253,1.31667145199998,0.520335601,22,1.2696934209999995,lns2.v3_value_label_pilot.v1,0.04697803099998055,no_progress,policy_train,s3__policy_train__policy_train_compartmentalized_double_horizontal_0002__task_0013__seed_0000__fixed_random__decision_0004__0026,feasible,random:size16:rep0,0
16,400,"10,49,51,85,121,131,195,221,264,292,304,322,336,356,364,381","oracle_s3_efficiency,oracle_h1_efficiency",oracle_s3_efficiency,neighborhood-0f9f58facbe41374,False,True,22.21691917700106,84,"84,62,56,52,51,44,42,39,37,35,32,32,18,15,11,6,4,3,3,2,2,2,2,2,1,0",24,True,0,f9d703b9423789e67f116a3f0faa5281a4001533bcbad58e27d4229475029297,91e058f061318d99ba45b00dbee34409a5050e44fdf4776da50c105b5979d7b3,84,1d0e476328050261043806ff6831770899cb285eda2e62f4cca62c18a092d99c,29640af2d66e84a1266849852f0ac063337a0c5f2d827fc072c1f13142de79d9,compartmentalized,307668,497832,88083,168,policy_train_compartmentalized_double_horizontal_0002,0.2644871330595364,1.4282274649999778,0.5240079309999999,25,1.3812494339999972,lns2.v3_value_label_pilot.v1,0.04697803099998055,no_progress,policy_train,s3__policy_train__policy_train_compartmentalized_double_horizontal_0002__task_0013__seed_0000__fixed_random__decision_0004__0026,feasible,random:size16:rep0,1
8,400,"7,44,46,137,216,260,278,315",oracle_s3_quality_time,oracle_s3_quality_time,neighborhood-001ef368e915bd82,True,True,48.8959983229998,70,"84,82,82,82,82,75,64,63,57,47,46,44,44,44,42,42,36,34,33,23,22,22,21,17,15,15,15,14,14,14,14",29,False,14,69913baddbbcb4e50d226dd3e4bd43bedaa7cfe59b6077a6cf024f38be65abfe,6c55b32bcfdf8de355132b5c52c87cda604744092f098fb59fd9ed6b81b70543,84,1d0e476328050261043806ff6831770899cb285eda2e62f4cca62c18a092d99c,29640af2d66e84a1266849852f0ac063337a0c5f2d827fc072c1f13142de79d9,compartmentalized,594404,741775,213160,218,policy_train_compartmentalized_double_horizontal_0002,0.58209521813095,2.078270914999976,0.9790104939999998,30,2.0312928839999955,lns2.v3_value_label_pilot.v1,0.04697803099998055,no_progress,policy_train,s3__policy_train__policy_train_compartmentalized_double_horizontal_0002__task_0013__seed_0000__fixed_random__decision_0004__0026,environment_terminal,collision:size8:rep0,0
8,400,"7,44,46,137,216,260,278,315",oracle_s3_quality_time,oracle_s3_quality_time,neighborhood-001ef368e915bd82,True,True,30.694682136000182,77,"84,83,47,42,36,31,31,25,17,17,17,16,16,16,15,14,11,9,9,9,9,9,8,7,7,7,7,7,7,7,7",29,False,7,d50da0a29a2a4d840008ef5d9f9c1a82d794cf8eebacde22f9894d3bf8ed2e88,db01095f824897e7553041dca6382deda8645610d6694009b441da15e2bb3fe6,84,1d0e476328050261043806ff6831770899cb285eda2e62f4cca62c18a092d99c,29640af2d66e84a1266849852f0ac063337a0c5f2d827fc072c1f13142de79d9,compartmentalized,618985,722063,270157,174,policy_train_compartmentalized_double_horizontal_0002,0.36541288257143073,2.1020848129999763,0.9939424989999998,30,2.0551067819999957,lns2.v3_value_label_pilot.v1,0.04697803099998055,no_progress,policy_train,s3__policy_train__policy_train_compartmentalized_double_horizontal_0002__task_0013__seed_0000__fixed_random__decision_0004__0026,environment_terminal,collision:size8:rep0,1
16,600,"44,164,166,172,210,264,278,318,322,354,368,456,458,480,568,590","v2_full,model_s3,oracle_s3_efficiency",v2_full,neighborhood-336af1eb1254d514,True,True,329.8043412659955,75,"94,71,71,71,70,64,63,63,63,59,59,59,58,50,49,46,40,39,34,33,32,28,26,25,24,21,21,20,20,19,19",29,False,19,23a8c6887e354a0ca1d787b820d3e12910e8201d4673c621980fe2ce9f45e021,2f2f310895945e3f2a514de71970f665623f4762a68a983699e81873a870972c,94,b3375dae54f30c96378484e6ab0f5567d4a17e1e1160cdde79d82f10015c6a0a,d9624a5ba1f7411e4ed84afe317ca136d633e1a90761e80f8a8e11950f4e5531,compartmentalized,3739595,2605154,2331995,248,policy_train_compartmentalized_double_horizontal_0001,3.5085568219786754,9.671286309999985,6.938293035000002,30,9.568679488,lns2.v3_value_label_pilot.v1,0.10260682199998428,high_cost_progress,policy_train,s3__policy_train__policy_train_compartmentalized_double_horizontal_0001__task_0016__seed_0000__official_adaptive__decision_0000__0040,environment_terminal,,0
16,600,"44,164,166,172,210,264,278,318,322,354,368,456,458,480,568,590","v2_full,model_s3,oracle_s3_efficiency",v2_full,neighborhood-336af1eb1254d514,True,True,303.8861095329968,70,"94,72,72,68,67,65,64,63,58,57,54,54,47,46,37,37,36,33,33,32,29,29,28,27,27,27,27,27,27,25,24",29,False,24,6e0809639459eb59b7dddda11da246cb0a45867eb483648c3f867cdd2756236a,149e39d82ad5726ec9e2069df0f49a47dda0f3c8ebddd42d896e67bf91ccda4a,94,b3375dae54f30c96378484e6ab0f5567d4a17e1e1160cdde79d82f10015c6a0a,d9624a5ba1f7411e4ed84afe317ca136d633e1a90761e80f8a8e11950f4e5531,compartmentalized,3251759,2086246,2194058,220,policy_train_compartmentalized_double_horizontal_0001,3.232830952478689,8.46136445899998,5.636007048,30,8.358757636999997,lns2.v3_value_label_pilot.v1,0.10260682199998428,high_cost_progress,policy_train,s3__policy_train__policy_train_compartmentalized_double_horizontal_0001__task_0016__seed_0000__official_adaptive__decision_0000__0040,environment_terminal,,1
