actual_size,agent_count,agents,candidate_id,complete,conflict_trajectory,continuation_teacher,executed_steps,feasible,final_conflict_ratio,final_conflicts,final_fingerprint,final_repair_fingerprint,horizon,initial_conflicts,initial_fingerprint,initial_repair_fingerprint,is_v2_candidate,layout_mode,log_total_seconds,low_level_expanded,low_level_generated,low_level_reopened,low_level_runs,map_id,no_progress,normalized_step_auc,normalized_wall_auc_seconds,observed_total_seconds,padded_steps,pp_replan_seconds,repair_wall_seconds,root_selection_seconds,schema,selection_families,selection_wall_seconds,source_stratum,split,state_id,stop_reason,trial_index
4,200,"12,14,70,82",neighborhood-095407fd7c8b0b69,True,"1,0",official_adaptive,1,True,0.0,0,458ad2453e0bff6972d943c7958027c72f30b875222ae0d0ba7564587d575a61,c2a08c17a445a6a1fc9eb221cb432aad28cab6ccf67cb845bba9249f0353890a,3,1,604343bc2e8025e74155961172c16a81deddeb5453b98d7cccecf60fdb5e717a,00c23ddee6488c20716f32e88060225dd10b3bb6ca9cb8f7445ea39c82e16ae4,False,compartmentalized,0.05574814120614621,6947,16467,0,4,policy_train_compartmentalized_double_horizontal_0001,False,0.16666666666666666,0.05733135200000561,0.05733135200000561,2,0.015147164,0.029041581000001315,0.028289771000004293,lns2.receding_q_label_pilot.v1,collision:4,0.028289771000004293,high_cost_progress,policy_train,s3__policy_train__policy_train_compartmentalized_double_horizontal_0001__task_0008__seed_0000__realized_dynamic__decision_0000__0006,feasible,2
4,200,"12,14,70,82",neighborhood-095407fd7c8b0b69,True,"1,0",official_adaptive,1,True,0.0,0,a463b4d97f6f6503e45450e12636ca8e0d5797ead17ba7cceb3790648266a2fb,3cbfa5f5120ee5f9b7dd23ad6c26112b016019d025eb81db56c070f0a4dc3925,3,1,604343bc2e8025e74155961172c16a81deddeb5453b98d7cccecf60fdb5e717a,00c23ddee6488c20716f32e88060225dd10b3bb6ca9cb8f7445ea39c82e16ae4,False,compartmentalized,0.051804189808256414,7011,16566,0,4,policy_train_compartmentalized_double_horizontal_0001,False,0.16666666666666666,0.053169500999999286,0.053169500999999286,2,0.012238082,0.024879729999994993,0.028289771000004293,lns2.receding_q_label_pilot.v1,collision:4,0.028289771000004293,high_cost_progress,policy_train,s3__policy_train__policy_train_compartmentalized_double_horizontal_0001__task_0008__seed_0000__realized_dynamic__decision_0000__0006,feasible,3
8,200,"14,50,55,68,69,91,95,132",neighborhood-0c2868d1d34a0b0c,True,"1,1,0",official_adaptive,2,True,0.0,0,986ac4bd88c2447a7fd13eccdeee6cdb83c6df4980225e05d1d17d959aeedf4a,c05730996de05ef0bc33edb0d382564837f7b618652e67effc605194d3a8d269,3,1,604343bc2e8025e74155961172c16a81deddeb5453b98d7cccecf60fdb5e717a,00c23ddee6488c20716f32e88060225dd10b3bb6ca9cb8f7445ea39c82e16ae4,False,compartmentalized,0.10809479989330563,21584,46395,838,16,policy_train_compartmentalized_double_horizontal_0001,False,0.5,0.11415336200001036,0.11415336200001036,1,0.035963107,0.05942679200000356,0.028289771000004293,lns2.receding_q_label_pilot.v1,random:8,0.0547265700000068,high_cost_progress,policy_train,s3__policy_train__policy_train_compartmentalized_double_horizontal_0001__task_0008__seed_0000__realized_dynamic__decision_0000__0006,feasible,2
8,200,"14,50,55,68,69,91,95,132",neighborhood-0c2868d1d34a0b0c,True,"1,1,1,0",official_adaptive,3,True,0.0,0,11e02b5393eac5a0725474bef78c2233d709ac49ce4edffefec0663fe8cfc4fd,56b840bc9b943f4262e3261c3840c642f80be04dbdd3736a1289bc947be1d48a,3,1,604343bc2e8025e74155961172c16a81deddeb5453b98d7cccecf60fdb5e717a,00c23ddee6488c20716f32e88060225dd10b3bb6ca9cb8f7445ea39c82e16ae4,False,compartmentalized,0.16815164105081135,32055,65982,840,24,policy_train_compartmentalized_double_horizontal_0001,False,0.8333333333333334,0.18311600599999878,0.18311600599999878,0,0.060002414000000004,0.09690497399999742,0.028289771000004293,lns2.receding_q_label_pilot.v1,random:8,0.08621103200000135,high_cost_progress,policy_train,s3__policy_train__policy_train_compartmentalized_double_horizontal_0001__task_0008__seed_0000__realized_dynamic__decision_0000__0006,feasible,3
8,200,"14,24,36,86,91,110,175,195",neighborhood-14e589ecee0080ca,True,"1,0",official_adaptive,1,True,0.0,0,20368ffbbf83283b68ed0ec6602e8daaed2d5a5cf1a42f95294273af6ae75733,0caaeede48961c501e8347d8e58435146a646172fdc816b509c5b8e683e42da0,3,1,604343bc2e8025e74155961172c16a81deddeb5453b98d7cccecf60fdb5e717a,00c23ddee6488c20716f32e88060225dd10b3bb6ca9cb8f7445ea39c82e16ae4,False,compartmentalized,0.053853586241415584,10192,21577,1667,8,policy_train_compartmentalized_double_horizontal_0001,False,0.16666666666666666,0.05533007600000417,0.05533007600000417,2,0.016491943,0.027040304999999876,0.028289771000004293,lns2.receding_q_label_pilot.v1,target:8,0.028289771000004293,high_cost_progress,policy_train,s3__policy_train__policy_train_compartmentalized_double_horizontal_0001__task_0008__seed_0000__realized_dynamic__decision_0000__0006,feasible,2
8,200,"14,24,36,86,91,110,175,195",neighborhood-14e589ecee0080ca,True,"1,1,0",official_adaptive,2,True,0.0,0,06557e1e91478269099b9eb24fb15faffab020d61085c4ae9bc8b08bba5b8527,21b622bfae16a5347d2fd87bc91c8014c853e7d86b1d265c79f12eec8a762093,3,1,604343bc2e8025e74155961172c16a81deddeb5453b98d7cccecf60fdb5e717a,00c23ddee6488c20716f32e88060225dd10b3bb6ca9cb8f7445ea39c82e16ae4,False,compartmentalized,0.1133255174448574,24885,47167,3243,16,policy_train_compartmentalized_double_horizontal_0001,False,0.5,0.11999645200001652,0.11999645200001652,1,0.037378901,0.061266075000006026,0.028289771000004293,lns2.receding_q_label_pilot.v1,target:8,0.05873037700001049,high_cost_progress,policy_train,s3__policy_train__policy_train_compartmentalized_double_horizontal_0001__task_0008__seed_0000__realized_dynamic__decision_0000__0006,feasible,3
8,200,"40,46,56,64,82,117,173,191",neighborhood-17bd7cf88dd201dd,True,"1,0",official_adaptive,1,True,0.0,0,007ad8d119a17bd11218480a6595e2039b35face717790582da06c73d3fca805,8b384c3cca381f5858feaf3d4985f6967066e9e05ebb2e1795e552742c78b838,3,1,604343bc2e8025e74155961172c16a81deddeb5453b98d7cccecf60fdb5e717a,00c23ddee6488c20716f32e88060225dd10b3bb6ca9cb8f7445ea39c82e16ae4,False,compartmentalized,0.07989292691850733,29771,25300,19289,8,policy_train_compartmentalized_double_horizontal_0001,False,0.16666666666666666,0.08317108300001053,0.08317108300001053,2,0.040869614,0.05488131200000623,0.028289771000004293,lns2.receding_q_label_pilot.v1,target:8,0.028289771000004293,high_cost_progress,policy_train,s3__policy_train__policy_train_compartmentalized_double_horizontal_0001__task_0008__seed_0000__realized_dynamic__decision_0000__0006,feasible,2
8,200,"40,46,56,64,82,117,173,191",neighborhood-17bd7cf88dd201dd,True,"1,0",official_adaptive,1,True,0.0,0,5134589304453a45417e27b5b273b1b962a21a68a68008139040df5dffffd4c7,879c08f11ab4cdc9b613fdd8937bfda5e96a0739dfce2d43e064245104f600aa,3,1,604343bc2e8025e74155961172c16a81deddeb5453b98d7cccecf60fdb5e717a,00c23ddee6488c20716f32e88060225dd10b3bb6ca9cb8f7445ea39c82e16ae4,False,compartmentalized,0.06840022203829034,27731,23917,18180,8,policy_train_compartmentalized_double_horizontal_0001,False,0.16666666666666666,0.0707937780000023,0.0707937780000023,2,0.031585639,0.04250400699999801,0.028289771000004293,lns2.receding_q_label_pilot.v1,target:8,0.028289771000004293,high_cost_progress,policy_train,s3__policy_train__policy_train_compartmentalized_double_horizontal_0001__task_0008__seed_0000__realized_dynamic__decision_0000__0006,feasible,3
4,200,"0,14,120,127",neighborhood-1a45fbd39195ff78,True,"1,1,1,0",official_adaptive,3,True,0.0,0,833102a6f654c14aa2a406b1daede97a11b0adb4c45d5a2adc40ca9895019de8,643633f40f4902d1084e1eb5e108050e3535aa4945e0172e770163196d444ae2,3,1,604343bc2e8025e74155961172c16a81deddeb5453b98d7cccecf60fdb5e717a,00c23ddee6488c20716f32e88060225dd10b3bb6ca9cb8f7445ea39c82e16ae4,False,compartmentalized,0.1833840712921198,31574,61189,2208,20,policy_train_compartmentalized_double_horizontal_0001,False,0.8333333333333334,0.20127569499999964,0.20127569499999964,0,0.053469113,0.0890096419999935,0.028289771000004293,lns2.receding_q_label_pilot.v1,random:4,0.11226605300000614,high_cost_progress,policy_train,s3__policy_train__policy_train_compartmentalized_double_horizontal_0001__task_0008__seed_0000__realized_dynamic__decision_0000__0006,feasible,2
4,200,"0,14,120,127",neighborhood-1a45fbd39195ff78,True,"1,1,0",official_adaptive,2,True,0.0,0,0b094b50b3e95b7c171c8164e8d3670298fdc76e1e04dd838cef128842f6ee86,adab668a7293b498b247ffe8a355b5136af096f6b0841684f1389ccbb733124e,3,1,604343bc2e8025e74155961172c16a81deddeb5453b98d7cccecf60fdb5e717a,00c23ddee6488c20716f32e88060225dd10b3bb6ca9cb8f7445ea39c82e16ae4,False,compartmentalized,0.1045736024228136,14314,26817,1618,12,policy_train_compartmentalized_double_horizontal_0001,False,0.5,0.11023710700001033,0.11023710700001033,1,0.026524224,0.050591615000001866,0.028289771000004293,lns2.receding_q_label_pilot.v1,random:4,0.05964549200000846,high_cost_progress,policy_train,s3__policy_train__policy_train_compartmentalized_double_horizontal_0001__task_0008__seed_0000__realized_dynamic__decision_0000__0006,feasible,3
