agent_count,heldout_trial,map_id,oracle_candidate_id,oracle_final_conflict_ratio_regret,oracle_normalized_step_auc_regret,selected_candidate_id,selected_feasible,selected_minus_v2_final_conflict_ratio,selected_minus_v2_normalized_step_auc,selected_minus_v2_total_seconds,selected_vs_v2_outcome,state_id,v2_candidate_id,v2_feasible
400,3,policy_train_compartmentalized_double_horizontal_0002,neighborhood-6a63453d2de5f189,0.0,0.0,neighborhood-6a63453d2de5f189,False,-0.09090909090909094,-0.09090909090909094,-0.27849019900020267,1,s3__policy_train__policy_train_compartmentalized_double_horizontal_0002__task_0014__seed_0000__realized_dynamic__decision_0007__0017,neighborhood-3f0283cdb31bfc90,False
600,0,policy_train_dead_end_aisles_0002,neighborhood-61653611c50c9599,0.0,0.0,neighborhood-08f619b14a47e8e5,True,0.0,0.0,-0.0006334160000278644,-1,s3__policy_train__policy_train_dead_end_aisles_0002__task_0019__seed_0000__official_adaptive__decision_0000__0093,neighborhood-61653611c50c9599,True
600,1,policy_train_dead_end_aisles_0002,neighborhood-08f619b14a47e8e5,0.0,0.16666666666666669,neighborhood-02ea817cfbcb3903,True,0.0,0.0,-0.017411546999937855,1,s3__policy_train__policy_train_dead_end_aisles_0002__task_0019__seed_0000__official_adaptive__decision_0000__0093,neighborhood-61653611c50c9599,True
600,2,policy_train_dead_end_aisles_0002,neighborhood-02ea817cfbcb3903,0.0,0.0,neighborhood-08f619b14a47e8e5,True,0.0,0.0,0.010427023000033842,-1,s3__policy_train__policy_train_dead_end_aisles_0002__task_0019__seed_0000__official_adaptive__decision_0000__0093,neighborhood-61653611c50c9599,True
600,3,policy_train_dead_end_aisles_0002,neighborhood-1a43eed521168516,0.0,0.0,neighborhood-08f619b14a47e8e5,True,0.0,0.0,0.02395095000008496,-1,s3__policy_train__policy_train_dead_end_aisles_0002__task_0019__seed_0000__official_adaptive__decision_0000__0093,neighborhood-61653611c50c9599,True
600,0,policy_train_regular_beltway_0000,neighborhood-a71a6a6cd6ee7b63,0.6,0.23333333333333328,neighborhood-a11aafa1e144b13e,False,0.6,0.23333333333333328,0.05077334400016298,-1,s3__policy_train__policy_train_regular_beltway_0000__task_0016__seed_0000__official_adaptive__decision_0004__0113,neighborhood-a71a6a6cd6ee7b63,True
600,1,policy_train_regular_beltway_0000,neighborhood-08a12470955a79c7,0.2,0.16666666666666663,neighborhood-09da32c272317f8e,False,-0.2,-0.16666666666666674,-0.01242667300004996,1,s3__policy_train__policy_train_regular_beltway_0000__task_0016__seed_0000__official_adaptive__decision_0004__0113,neighborhood-a71a6a6cd6ee7b63,False
600,2,policy_train_regular_beltway_0000,neighborhood-a11aafa1e144b13e,0.0,0.2,neighborhood-09da32c272317f8e,True,-0.6,-0.09999999999999998,-0.024299118000101316,1,s3__policy_train__policy_train_regular_beltway_0000__task_0016__seed_0000__official_adaptive__decision_0004__0113,neighborhood-a71a6a6cd6ee7b63,False
600,3,policy_train_regular_beltway_0000,neighborhood-a71a6a6cd6ee7b63,0.0,0.13333333333333336,neighborhood-09da32c272317f8e,True,0.0,0.13333333333333336,0.10962225700012596,-1,s3__policy_train__policy_train_regular_beltway_0000__task_0016__seed_0000__official_adaptive__decision_0004__0113,neighborhood-a71a6a6cd6ee7b63,True
400,0,policy_train_regular_beltway_0002,neighborhood-2ba1c5885f7a7df9,0.0,0.0,neighborhood-2ba1c5885f7a7df9,True,0.0,0.0,-0.0007919230000652533,1,s3__policy_train__policy_train_regular_beltway_0002__task_0015__seed_0000__realized_dynamic__decision_0000__0110,neighborhood-64a071801e0b6e72,True
400,1,policy_train_regular_beltway_0002,neighborhood-452e74a4af5ffbb2,0.0,0.0,neighborhood-2ba1c5885f7a7df9,True,0.0,0.0,-0.0013862550000567353,1,s3__policy_train__policy_train_regular_beltway_0002__task_0015__seed_0000__realized_dynamic__decision_0000__0110,neighborhood-64a071801e0b6e72,True
400,2,policy_train_regular_beltway_0002,neighborhood-1a9ee265e4a28ae2,0.0,0.0,neighborhood-2ba1c5885f7a7df9,True,0.0,0.0,0.0009347099999672537,-1,s3__policy_train__policy_train_regular_beltway_0002__task_0015__seed_0000__realized_dynamic__decision_0000__0110,neighborhood-64a071801e0b6e72,True
400,3,policy_train_regular_beltway_0002,neighborhood-2ba1c5885f7a7df9,0.0,0.0,neighborhood-2ba1c5885f7a7df9,True,0.0,0.0,-0.006242030999999315,1,s3__policy_train__policy_train_regular_beltway_0002__task_0015__seed_0000__realized_dynamic__decision_0000__0110,neighborhood-64a071801e0b6e72,True
