agent_count,layout_mode,map_id,model_first_template,model_oracle_exact_match,model_oracle_first_template_match,model_planner_overhead_seconds,model_risk_relaxed,model_s3_conflict_reduction,model_s3_efficiency,model_s3_feasible,model_s3_no_progress,model_s3_selection_seconds,model_s3_total_seconds,model_sequence_id,model_utility_regret,oracle_h1_efficiency_conflict_reduction,oracle_h1_efficiency_efficiency,oracle_h1_efficiency_feasible,oracle_h1_efficiency_first_template,oracle_h1_efficiency_no_progress,oracle_h1_efficiency_selection_seconds,oracle_h1_efficiency_total_seconds,oracle_s3_efficiency_conflict_reduction,oracle_s3_efficiency_efficiency,oracle_s3_efficiency_feasible,oracle_s3_efficiency_first_template,oracle_s3_efficiency_no_progress,oracle_s3_efficiency_selection_seconds,oracle_s3_efficiency_sequence_id,oracle_s3_efficiency_total_seconds,oracle_s3_quality_time_conflict_reduction,oracle_s3_quality_time_efficiency,oracle_s3_quality_time_feasible,oracle_s3_quality_time_no_progress,oracle_s3_quality_time_selection_seconds,oracle_s3_quality_time_sequence_id,oracle_s3_quality_time_total_seconds,oracle_s3_reduction_conflict_reduction,oracle_s3_reduction_efficiency,oracle_s3_reduction_feasible,oracle_s3_reduction_no_progress,oracle_s3_reduction_selection_seconds,oracle_s3_reduction_sequence_id,oracle_s3_reduction_total_seconds,registered_sequence_count,split,state_id,v2_full_conflict_reduction,v2_full_efficiency,v2_full_feasible,v2_full_no_progress,v2_full_selection_seconds,v2_full_total_seconds,v2_h1_conflict_reduction,v2_h1_efficiency,v2_h1_feasible,v2_h1_no_progress,v2_h1_selection_seconds,v2_h1_total_seconds
600,compartmentalized,policy_train_compartmentalized_double_horizontal_0000,random:size16:rep0,False,True,0.011749491000006884,False,2.0,5.219666609219657,1.0,0.0,0.1869460274999888,0.3831662344999849,s3-5b9b7f20cd8697e955b4,1.1602788132506534,1.75,6.9866499581672254,0.75,random:size16:rep0,0.0,0.13882703499996296,0.25047769824997346,2.0,6.3799454224703105,1.0,random:size16:rep0,0.0,0.168341418749975,s3-bdd163e01e33abf8e87e,0.31348230549997425,2.0,6.3799454224703105,1.0,0.0,0.168341418749975,s3-bdd163e01e33abf8e87e,0.31348230549997425,2.0,6.3799454224703105,1.0,0.0,0.168341418749975,s3-bdd163e01e33abf8e87e,0.31348230549997425,36,policy_train,s3__policy_train__policy_train_compartmentalized_double_horizontal_0000__task_0017__seed_0000__fixed_random__decision_0000__0063,2.0,7.939842796510193,1.0,0.0,0.11851230550001901,0.2518941560000485,2.0,7.939842796510193,1.0,0.0,0.11851230550001901,0.2518941560000485
600,compartmentalized,policy_train_compartmentalized_double_horizontal_0000,target:size8:rep1,False,False,0.011749491000006884,False,1.0,4.186623007661423,1.0,0.0,0.10633649925008015,0.23885599400042068,s3-fa1931dfe34c51fe07c6,1.5767370506346863,1.0,5.4379065160633395,1.0,target:size16:rep0,0.0,0.08151433900002303,0.18389429774970267,1.0,5.763360058296109,1.0,target:size8:rep0,0.0,0.09353646499994284,s3-bf55751be0a42d80eb96,0.1735098952494809,1.0,5.763360058296109,1.0,0.0,0.09353646499994284,s3-bf55751be0a42d80eb96,0.1735098952494809,1.0,5.763360058296109,1.0,0.0,0.09353646499994284,s3-bf55751be0a42d80eb96,0.1735098952494809,36,policy_train,s3__policy_train__policy_train_compartmentalized_double_horizontal_0000__task_0019__seed_0000__realized_dynamic__decision_0000__0055,1.0,4.619858628623267,1.0,0.0,0.1134841700004472,0.21645684000031906,0.5,3.9683173668443468,0.5,0.5,0.07624890100032644,0.12599798700011888
100,compartmentalized,policy_train_compartmentalized_double_horizontal_0001,collision:size4:rep0,False,False,0.011749491000006884,False,2.0,38.6354888063575,1.0,0.0,0.0390511054997269,0.05176587799947541,s3-4fff7a89e552c4f17d95,35.150051699576295,2.0,73.72792182123463,1.0,target:size8:rep1,0.0,0.023540480000065145,0.027126764875447407,2.0,73.7855405059338,1.0,target:size8:rep1,0.0,0.023540480000065145,s3-08317cffafbac6490e8f,0.027105581747946417,2.0,73.7855405059338,1.0,0.0,0.023540480000065145,s3-08317cffafbac6490e8f,0.027105581747946417,2.0,73.7855405059338,1.0,0.0,0.023540480000065145,s3-08317cffafbac6490e8f,0.027105581747946417,36,policy_train,s3__policy_train__policy_train_compartmentalized_double_horizontal_0001__task_0007__seed_0000__realized_dynamic__decision_0000__0000,2.0,72.61095657540896,1.0,0.0,0.023966885499248747,0.027544052500161342,2.0,72.61095657540896,1.0,0.0,0.023966885499248747,0.027544052500161342
200,compartmentalized,policy_train_compartmentalized_double_horizontal_0001,target:size4:rep1,False,False,0.011749491000006884,False,1.0,13.906964756124443,1.0,0.0,0.05004803099980748,0.07190641649966167,s3-e361036ed15dfc0233c2,12.09524288303725,1.0,25.950321955663274,1.0,random:size4:rep1,0.0,0.028289771000004293,0.038535167375130186,1.0,26.002207639161693,1.0,random:size4:rep1,0.0,0.028289771000004293,s3-eea00562d5ab4f321243,0.03845827300040128,1.0,26.002207639161693,1.0,0.0,0.028289771000004293,s3-eea00562d5ab4f321243,0.03845827300040128,1.0,26.002207639161693,1.0,0.0,0.028289771000004293,s3-eea00562d5ab4f321243,0.03845827300040128,36,policy_train,s3__policy_train__policy_train_compartmentalized_double_horizontal_0001__task_0008__seed_0000__realized_dynamic__decision_0000__0006,1.0,23.854847736211166,1.0,0.0,0.02757184550000602,0.0419202005000443,1.0,23.854847736211166,1.0,0.0,0.02757184550000602,0.0419202005000443
200,compartmentalized,policy_train_compartmentalized_double_horizontal_0001,collision:size8:rep0,False,False,0.011749491000006884,False,1.75,19.93290487403224,0.75,0.0,0.0557194392499305,0.08779452924996534,s3-57a9fce1dde56d5f0301,15.73310562144605,2.0,35.37225902476701,1.0,random:size16:rep0,0.0,0.033916928000053304,0.056541483499813694,2.0,35.66601049547829,1.0,random:size16:rep0,0.0,0.033916928000053304,s3-c6c5caee004b0ad6839f,0.05607579799971063,2.0,35.66601049547829,1.0,0.0,0.033916928000053304,s3-c6c5caee004b0ad6839f,0.05607579799971063,2.0,35.66601049547829,1.0,0.0,0.033916928000053304,s3-c6c5caee004b0ad6839f,0.05607579799971063,36,policy_train,s3__policy_train__policy_train_compartmentalized_double_horizontal_0001__task_0011__seed_0000__fixed_random__decision_0000__0013,1.0,8.1364427752884,0.5,0.5,0.06013324699961231,0.12290383250001469,0.5,7.59851628338338,0.0,0.5,0.03125287149941869,0.06580231999942043
200,compartmentalized,policy_train_compartmentalized_double_horizontal_0001,random:size8:rep0,False,False,0.011749491000006884,False,1.0,19.509577222160146,1.0,0.0,0.03840094699997465,0.05125687700008896,s3-27cec3bcc216698a3cd9,6.123399171435562,1.0,25.469787362547752,1.0,random:size4:rep1,0.0,0.026651455999967766,0.03926220450000528,1.0,25.63297639359571,1.0,random:size4:rep1,0.0,0.026651455999967766,s3-43a89fb5d5870e5b9131,0.0390122467498486,1.0,25.63297639359571,1.0,0.0,0.026651455999967766,s3-43a89fb5d5870e5b9131,0.0390122467498486,1.0,25.63297639359571,1.0,0.0,0.026651455999967766,s3-43a89fb5d5870e5b9131,0.0390122467498486,36,policy_train,s3__policy_train__policy_train_compartmentalized_double_horizontal_0001__task_0011__seed_0000__fixed_random__decision_0002__0012,0.0,0.0,0.0,1.0,0.02430936800010386,0.057340645999829576,0.0,0.0,0.0,1.0,0.02430936800010386,0.057340645999829576
400,compartmentalized,policy_train_compartmentalized_double_horizontal_0001,target:size16:rep0,False,False,0.011749491000006884,False,0.0,0.0,0.0,1.0,0.12686217949995537,0.31670578900157764,s3-84179f0b2e5bc7ac339b,6.313594366973881,1.0,11.820269213217527,0.0,target:size4:rep1,0.0,0.062047906000088915,0.08460044200023731,1.75,6.313594366973881,0.0,random:size8:rep1,0.0,0.1316211967516665,s3-6ca70ce6e1fb47dfc8c8,0.27717966950081063,2.0,5.969643415529217,0.0,0.0,0.13333733525018943,s3-dc97207206de21e698e9,0.3350283862512242,2.0,5.969643415529217,0.0,0.0,0.13333733525018943,s3-dc97207206de21e698e9,0.3350283862512242,36,policy_train,s3__policy_train__policy_train_compartmentalized_double_horizontal_0001__task_0012__seed_0000__fixed_random__decision_0000__0018,1.0,2.5298170626780268,0.0,0.5,0.12834749149988056,0.3952854990002379,0.0,0.0,0.0,1.0,0.06434242700015602,0.1905812720015092
400,compartmentalized,policy_train_compartmentalized_double_horizontal_0001,target:size8:rep0,False,False,0.011749491000006884,False,1.25,4.932016074420662,0.25,0.25,0.14447411049964742,0.2534460515007204,s3-620cbb3d12fdb1b0f7cd,2.264221444089694,0.5,5.767368740971057,0.0,target:size4:rep0,0.5,0.06530540299991117,0.0866946474998258,1.75,7.1962375185103555,0.25,target:size4:rep1,0.0,0.1284194634972664,s3-c7ee34b5ba7cffc2e0e6,0.2431826347446986,2.0,5.6940332662194795,0.0,0.0,0.13048724450254667,s3-e5d151cc1bfd27c2e754,0.35124487450138986,2.0,5.6940332662194795,0.0,0.0,0.13048724450254667,s3-e5d151cc1bfd27c2e754,0.35124487450138986,36,policy_train,s3__policy_train__policy_train_compartmentalized_double_horizontal_0001__task_0012__seed_0000__fixed_random__decision_0001__0020,3.0,9.055527184218606,1.0,0.0,0.1661297864993685,0.33128938149820897,0.5,4.338178506119204,0.0,0.5,0.05680125399885583,0.11525574599909305
400,compartmentalized,policy_train_compartmentalized_double_horizontal_0001,target:size16:rep0,False,False,0.011749491000006884,False,1.75,5.3147179515997856,0.0,0.0,0.14056073800039215,0.3292742937512294,s3-5fa87963dee247f09a42,2.798736865438121,1.0,11.432865188136242,0.0,target:size4:rep1,0.0,0.061490932999959114,0.08746713824962171,2.75,8.113454817037907,0.75,target:size4:rep1,0.0,0.12864453925089947,s3-552507ccf07c2552ba04,0.33894315824932164,2.75,8.113454817037907,0.75,0.0,0.12864453925089947,s3-552507ccf07c2552ba04,0.33894315824932164,2.75,8.113454817037907,0.75,0.0,0.12864453925089947,s3-552507ccf07c2552ba04,0.33894315824932164,36,policy_train,s3__policy_train__policy_train_compartmentalized_double_horizontal_0001__task_0012__seed_0000__fixed_random__decision_0002__0031,0.0,0.0,0.0,1.0,0.06379886849936156,0.12097698049910832,0.0,0.0,0.0,1.0,0.06379886849936156,0.12097698049910832
400,compartmentalized,policy_train_compartmentalized_double_horizontal_0001,target:size4:rep0,False,False,0.011749491000006884,False,11.5,29.145745264580665,0.0,0.0,0.13754485799968919,0.3945687405007057,s3-20cd4b1bc04575e50cf3,11.778324951350061,6.375,62.187455754466335,0.0,collision:size4:rep1,0.0,0.06031466800004637,0.10251263575037228,12.25,40.924070215930726,0.0,collision:size4:rep0,0.0,0.11928264700009095,s3-b9eddbe50ac592163cd7,0.2993348397499176,12.25,40.924070215930726,0.0,0.0,0.11928264700009095,s3-b9eddbe50ac592163cd7,0.2993348397499176,12.25,40.924070215930726,0.0,0.0,0.11928264700009095,s3-b9eddbe50ac592163cd7,0.2993348397499176,36,policy_train,s3__policy_train__policy_train_compartmentalized_double_horizontal_0001__task_0015__seed_0000__official_adaptive__decision_0000__0038,11.0,27.292164673419816,0.0,0.0,0.13655928550087992,0.40304608050064417,5.5,57.62570819023008,0.0,0.0,0.05415139350043319,0.09544351250042382
